Date,AQI,Rhumidity,Wind Speed
2018-05-22,3.1789,40.2917,9.4542
2018-05-21,3.041,50.7083,6.4208
2018-05-20,2.687,54.0833,9.4917
2018-05-19,2.9348,64,6.3708
2018-05-18,2.8941,64,10.4542
2018-05-17,2.4372,87.875,6.6318
2018-05-16,3.2366,36.2917,7.0083
2018-05-15,3.1461,26.0833,6.0583
2018-05-14,2.7309,32.75,8.3167
2018-05-13,2.9179,33.4583,13.6
2018-05-12,2.8207,42.5833,6.4208
2018-05-11,2.6814,64.9583,8.55
2018-05-10,2.367,82.5,14.1917
2018-05-09,2.483,66.5,8.7583
2018-05-08,3.1142,37.75,7.9292
2018-05-07,3.1662,34.875,8.1792
2018-05-06,2.7709,38.8333,6.6333
2018-05-05,2.8165,48.4167,7.8917
2018-05-04,2.6464,38.0833,4.8542
2018-05-03,3.2149,32.875,6.7208
2018-05-02,2.8167,45.625,10.1708
2018-05-01,3.2054,50.5417,10.0875
2018-04-30,2.7964,71.6667,7.1
2018-04-29,3.0808,75,5.4792
2018-04-28,3.0618,75,9.9292
2018-04-27,3.0563,31.625,10.9417
2018-04-26,2.9941,43.8333,12.2583
2018-04-25,3.4548,36.75,10.8292
2018-04-24,2.9227,39.375,4.5792
2018-04-23,2.8257,26.5,12.9292
2018-04-22,3.0136,43.0833,8.275
2018-04-21,2.8639,39.3333,10.0083
2018-04-20,2.9581,44.9167,6.5458
2018-04-19,2.7575,42.875,9.4333
2018-04-18,2.869,55.5833,9.5208
2018-04-17,2.7799,52.5,7.5958
2018-04-16,3.1606,81.375,7.8625
2018-04-15,3.732,91.4583,13.4208
2018-04-14,3.1442,64.4583,7.3917
2018-04-13,2.9803,57.9167,8.4208
2018-04-12,3.4246,72.75,8.1792
2018-04-11,3.7082,96,4.1
2018-04-10,2.8986,69.4583,8.9583
2018-04-09,3.1268,57.4583,6.7
2018-04-08,2.8268,64.6667,3.7917
2018-04-07,2.6027,80.7917,6.2542
2018-04-06,2.8729,86.2083,7.825
2018-04-05,3.0028,79.0417,6.4167
2018-04-04,3.4838,60.7083,6.0208
2018-04-03,2.8449,73.5,6.75
2018-03-31,2.9088,65.0833,4.9458
2018-03-30,3.0627,56.875,6.9958
2018-03-29,2.728,72.3333,12.2083
2018-03-28,2.9002,85.1667,7.225
2018-03-27,2.5625,87.4583,8.1708
2018-03-26,2.8213,75.0833,6.8083
2018-03-25,2.7572,55.2083,5.9458
2018-03-24,2.6685,37.0833,8.1042
2018-03-23,3.1175,45.9583,8.3083
2018-03-22,3.5014,64.4167,4.7292
2018-03-21,2.9469,51.9167,10.2542
2018-03-20,2.7031,88.75,12.4917
2018-03-19,2.7758,62.3333,8.3
2018-03-18,3.2269,53.7083,4.8917
2018-03-17,3.9732,72.25,10.0792
2018-03-16,3.3622,87.2083,3.6167
2018-03-15,3.8561,87.25,5.2792
2018-03-14,3.4116,82.4583,7.4
2018-03-13,2.7371,87.75,5.4125
2018-03-12,2.749,67.8333,6.2917
2018-03-11,2.8339,48.3333,4.2583
2018-03-10,2.8202,51.5417,4.0167
2018-03-09,3.2352,56.7083,6.4625
2018-03-08,4.598,63.5833,5.2583
2018-03-07,3.1751,71.2917,6.3792
2018-03-06,2.7204,79.0417,7.65
2018-03-05,2.5074,72,6.7
2018-03-04,2.4735,71.6667,6.6625
2018-03-03,2.6728,71.375,8.8708
2018-03-02,2.6398,75.8333,6.1708
2018-03-01,2.9343,77.6667,4.2792
2018-02-28,2.7361,87.9583,7.375
2018-02-27,2.7574,78.4583,6.6875
2018-02-26,2.6089,46.75,5.0542
2018-02-25,2.79,36.75,9.8083
2018-02-24,2.8564,43.625,6.0792
2018-02-23,2.7293,39.4583,4.6292
2018-02-22,2.6026,37.25,5.4042
2018-02-21,2.5006,57.0833,14.825
2018-02-20,2.4909,67.5833,8.925
2018-02-19,2.5085,58.0417,12.325
2018-02-18,2.7757,63.5,14.7375
2018-02-17,2.7264,64.75,12.4958
2018-02-16,2.6955,70.75,8.0083
2018-02-15,2.5934,78.2083,6.1375
2018-02-14,2.8605,52.7917,9.8125
2018-02-13,2.7697,63.5417,7.7083
2018-02-12,2.4669,64.6667,8.7583
2018-02-11,2.9192,44.875,4.1792
2018-02-10,2.6825,58.0417,9.4667
2018-02-09,2.4183,76.9583,8.0583
2018-02-08,2.7609,61,11.675
2018-02-07,2.4699,73.8333,13.6917
2018-02-06,2.2744,79.625,9.3042
2018-02-05,2.6396,79.625,4.6417
2018-02-04,2.0744,63.4583,8.0333
2018-02-03,2.1781,65.4583,8.6042
2018-02-02,3.0109,78.0833,4.5333
2018-02-01,2.1421,74.5,5.4583
2018-01-31,2.2088,80.6667,7.1833
2018-01-30,2.6635,77.2917,6.775
2018-01-29,2.7661,79.875,7.4375
2018-01-28,2.2789,54.7083,9.2667
2018-01-27,2.359,65.7083,5.2417
2018-01-26,2.4348,75.0833,4.6667
2018-01-25,3.0974,85.0417,5.975
2018-01-24,2.6691,72.3333,12.75
2018-01-23,2.535,84.0417,6.85
2018-01-22,2.4465,59.2917,7.5083
2018-01-21,2.7126,55.75,6.8417
2018-01-20,2.5404,42.625,4.8333
2018-01-19,2.582,53.9167,5.45
2018-01-18,2.8815,45.0417,4.8125
2018-01-17,2.8428,44.375,5.6708
2018-01-16,2.2759,56.6667,9.0708
2018-01-15,2.3953,44.0833,3.65
2018-01-14,2.3355,60.1667,7.3625
