Time,CO2,TVOC,Pressure,Temperature,Humidity
1583685656,618,33,30.025466,27.856251,27.0
1583685660,515,17,30.025244,27.80625,27.0
1583685663,584,28,30.02443,27.856251,27.0
1583685668,496,14,30.024948,27.90625,27.0
1583685670,591,29,30.027021,27.856251,26.0
1583685674,482,12,30.025688,27.80625,26.0
1583685678,591,29,30.0248,27.75625,26.0
1583685681,659,39,30.023838,27.80625,28.0
1583685685,591,29,30.024208,27.80625,29.0
1583685688,649,37,30.023912,27.80625,30.0
1583685699,589,28,30.023764,28.00625,30.0
1583685702,497,14,30.024356,27.9375,29.0
1583685706,569,25,30.023616,28.7875,29.0
1583685710,493,14,30.023616,27.8375,27.0
1583685714,569,25,30.02332,27.887501,27.0
1583685720,487,13,30.024578,27.8375,26.0
1583685724,569,25,30.0248,27.9375,28.0
1583685727,487,13,30.024504,27.9375,27.0
1583685731,569,25,30.024356,27.8375,26.0
1583685735,620,33,30.02332,27.8375,26.0
1583685738,540,21,30.024504,27.887501,27.0
1583685742,614,32,30.024282,27.8375,28.0
1583685745,497,14,30.023023,27.8375,27.0
1583685749,574,26,30.023542,27.8375,27.0
1583685752,493,14,30.023468,29.0375,28.0
1583685817,603,30,30.023097,27.86875,28.0
1583685820,548,22,30.02369,28.11875,29.0
1583685824,470,10,30.022949,28.96875,29.0
1583685827,553,23,30.022653,28.668751,29.0
1583685831,476,11,30.023764,27.96875,29.0
1583685834,548,22,30.022875,28.06875,29.0
1583685842,470,10,30.022579,28.11875,28.0
1583685845,566,25,30.021395,28.96875,29.0
1583685849,476,11,30.021321,27.918751,26.0
1583685852,540,21,30.021395,28.11875,27.0
1583685856,548,22,30.022875,27.950001,26.0
1583685859,485,12,30.021025,27.96875,27.0
1583685863,566,25,30.021321,28.71875,29.0
1583685866,527,19,30.021765,28.06875,29.0
1583685870,603,30,30.021691,27.918751,28.0
1583685874,575,26,30.021691,27.918751,27.0
1583685881,575,26,30.021395,28.918751,29.0
1583685884,497,14,30.021617,28.71875,30.0
1583685888,569,25,30.022357,27.96875,29.0
1583685891,487,13,30.022061,28.450001,29.0
1583685895,527,19,30.020951,28.918751,30.0
1583685899,531,19,30.020951,28.168751,28.0
1583685902,454,8,30.021617,28.168751,28.0
1583685906,545,22,30.022801,28.049999,27.0
1583685909,473,11,30.021395,28.61875,28.0
1583685918,545,22,30.021543,28.0,28.0
1583685922,473,11,30.021247,28.75,29.0
1583685924,545,22,30.022579,28.0,28.0
1583685927,473,11,30.021617,28.75,29.0
1583685931,539,21,30.021913,28.049999,28.0
1583685934,539,21,30.021839,28.0,28.0
1583685938,461,9,30.020654,28.450001,28.0
1583685943,543,21,30.021469,28.0,28.0
1583685945,472,10,30.021099,28.75,29.0
1583685948,549,22,30.022431,28.700001,28.0
1583685957,497,14,30.021025,28.450001,28.0
1583685959,549,22,30.021247,28.481251,28.0
1583685963,477,11,30.021913,28.5,28.0
1583685966,543,21,30.021987,28.731251,28.0
1583685970,477,11,30.020802,28.450001,27.0
1583685973,533,20,30.022209,27.981251,26.0
1583685977,564,24,30.021247,28.450001,27.0
1583685981,456,8,30.021765,28.43125,28.0
1583685984,533,20,30.021469,28.481251,28.0
1583685988,448,7,30.022209,28.03125,28.0
1583685997,505,15,30.021025,28.43125,28.0
1583685998,444,6,30.019988,28.450001,27.0
1583686002,515,17,30.020951,28.0,27.0
